1oaiA00,0,0,2,17,27,0,5,0,0,1,2,2,0,8,11,0,0,0,0,0,0,0,0,0,0,16,1_10_8_10
101mA00,16,1,1,44,86,0,12,5,0,3,4,0,7,7,63,0,0,0,0,0,0,1,0,1,0,31,1_10_490_10
102lA00,13,1,5,61,97,1,18,3,2,3,18,1,13,13,40,0,0,0,0,0,1,2,0,0,1,34,1_10_530_40
1itlA00,3,0,0,36,59,1,14,0,5,22,18,5,16,8,13,2,0,2,2,4,9,3,0,3,2,60,1_20_1250_10
102mA00,18,1,1,48,91,0,13,5,0,2,4,0,6,6,57,0,0,0,0,0,0,1,0,1,0,37,1_10_490_10
103lA00,17,1,1,55,89,1,19,2,2,3,15,2,9,12,38,0,0,0,0,1,0,2,0,0,1,35,1_10_530_40
103mA00,18,0,1,44,89,1,13,4,0,2,4,1,7,6,61,0,0,0,0,0,0,1,0,1,0,33,1_10_490_10
1itmA00,2,0,0,31,42,1,8,0,8,26,14,6,19,9,10,2,0,2,4,9,8,4,1,3,2,62,1_20_1250_10
104lA00,15,1,5,55,85,2,19,4,2,2,14,4,7,13,34,0,0,0,0,0,0,2,0,0,3,30,1_10_530_40
104lB00,17,4,3,48,77,2,18,6,3,5,12,3,12,13,41,0,0,0,0,0,2,1,0,1,2,29,1_10_530_40
1itoA00,31,6,9,100,122,11,93,7,0,14,50,13,19,40,31,0,0,1,0,0,1,3,1,1,7,19,3_90_70_10
104mA00,18,0,1,42,86,1,13,4,0,1,2,2,6,6,62,0,0,0,0,0,0,1,0,1,0,30,1_10_490_10
1itpA00,2,0,1,11,13,0,4,2,1,14,20,7,8,19,3,2,0,1,1,0,5,0,0,3,6,19,3_30_70_80
105mA00,17,1,2,32,77,1,11,7,0,0,2,0,5,7,64,0,0,0,0,0,0,1,0,1,0,28,1_10_490_10
106mA00,15,2,1,46,94,0,15,4,0,2,4,0,6,5,56,0,0,0,0,0,0,1,0,1,0,37,1_10_490_10
107lA00,13,2,5,59,96,3,18,3,3,4,15,2,11,13,53,0,0,0,0,1,0,1,0,0,1,22,1_10_530_40
107mA00,15,1,1,47,93,1,12,5,0,0,3,0,5,8,60,0,0,0,0,0,0,1,0,1,0,32,1_10_490_10
108lA00,12,1,5,62,99,3,19,3,2,3,16,1,11,12,47,0,0,0,0,0,1,2,0,0,1,26,1_10_530_40
108mA00,16,3,1,44,90,0,12,5,0,2,3,0,7,8,61,0,0,0,0,0,0,0,0,0,0,32,1_10_490_10
1g4aD00,25,4,7,52,62,11,62,6,0,7,21,9,7,20,28,0,0,0,0,0,5,0,0,0,1,16,3_60_20_10
1liyA02,25,3,3,101,137,8,89,8,0,4,16,9,9,18,42,0,0,0,0,0,2,0,0,0,0,45,3_20_20_60
